roll_no,name,email,cohort_code,subject_codes
CED10A21,Cedar Bulk Student 21,bulk.student.21@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A22,Cedar Bulk Student 22,bulk.student.22@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A23,Cedar Bulk Student 23,bulk.student.23@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A24,Cedar Bulk Student 24,bulk.student.24@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A25,Cedar Bulk Student 25,bulk.student.25@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A26,Cedar Bulk Student 26,bulk.student.26@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A27,Cedar Bulk Student 27,bulk.student.27@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A28,Cedar Bulk Student 28,bulk.student.28@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A29,Cedar Bulk Student 29,bulk.student.29@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A30,Cedar Bulk Student 30,bulk.student.30@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A31,Cedar Bulk Student 31,bulk.student.31@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
CED10A32,Cedar Bulk Student 32,bulk.student.32@cedar.example.test,CLASS10A,MAT10|SCI10|ENG10
