roll_no,name,email,cohort_code,subject_codes
NS27001,Northstar Bulk Student 001,bulk.student.001@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27002,Northstar Bulk Student 002,bulk.student.002@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27003,Northstar Bulk Student 003,bulk.student.003@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27004,Northstar Bulk Student 004,bulk.student.004@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27005,Northstar Bulk Student 005,bulk.student.005@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27006,Northstar Bulk Student 006,bulk.student.006@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27007,Northstar Bulk Student 007,bulk.student.007@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27008,Northstar Bulk Student 008,bulk.student.008@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27009,Northstar Bulk Student 009,bulk.student.009@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27010,Northstar Bulk Student 010,bulk.student.010@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27011,Northstar Bulk Student 011,bulk.student.011@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
NS27012,Northstar Bulk Student 012,bulk.student.012@northstar.example.test,BSC-CS-S3,CS301|MA301|EN301
